Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
BCS1_optdedupe_1	2.10	6966330	4010376	6966330	417979800	494711	360043214	13.861097115219442
BCS1_optdedupe_2	2.10	6966330	3593039	6966330	417979800	988326	384039547	8.120070156500386
BCS2_optdedupe_1	2.10	8063469	4834599	8063469	483808140	487586	414968314	14.228744890484894
BCS2_optdedupe_2	2.10	8063469	4491044	8063469	483808140	1286345	434802706	10.129104896829558
BCS3_optdedupe_1	2.10	7233821	3814806	7233821	434029260	458233	379144452	12.645416578596565
BCS3_optdedupe_2	2.10	7233821	3535957	7233821	434029260	1249158	395172333	8.95260540729443
BCS4_optdedupe_1	2.10	7574851	4102865	7574851	454491060	477180	392570718	13.624105609470075
BCS4_optdedupe_2	2.10	7574851	3797845	7574851	454491060	1352345	410198195	9.745596536046277
BCS5_optdedupe_1	2.10	6341632	3043260	6341632	380497920	416619	343841150	9.633894976350987
BCS5_optdedupe_2	2.10	6341632	2726509	6341632	380497920	624679	362038371	4.851419161502907
BCS6_optdedupe_1	2.10	6741430	3317744	6741430	404485800	506120	362081788	10.483436501355548
BCS6_optdedupe_2	2.10	6741430	2936270	6741430	404485800	809303	383872527	5.096167282015833
BCS7_optdedupe_1	2.10	6106299	3184298	6106299	366377940	433145	324595068	11.404308894798634
BCS7_optdedupe_2	2.10	6106299	2792576	6106299	366377940	610558	347641605	5.1139364449726425
BCSA_optdedupe_1	2.10	6647429	3219999	6647429	398845740	481448	368547699	7.596430890800038
BCSA_optdedupe_2	2.10	6647429	2952328	6647429	398845740	591878	383643485	3.8115625855750643
BCSB_optdedupe_1	2.10	7958803	4001138	7958803	477528180	568106	436547031	8.581933112303446
BCSB_optdedupe_2	2.10	7958803	3668195	7958803	477528180	723559	455752974	4.559983454798417
BCSC_optdedupe_1	2.10	9948216	5148491	9948216	596892960	693756	543474041	8.949497243190805
BCSC_optdedupe_2	2.10	9948216	4782970	9948216	596892960	1057827	564461290	5.433414728161646
BCSD_optdedupe_1	2.10	8900878	4537466	8900878	534052680	584477	488826142	8.468553701481286
BCSD_optdedupe_2	2.10	8900878	4252307	8900878	534052680	928036	505804982	5.289309286866606
BCSE_optdedupe_1	2.10	9729758	4976412	9729758	583785480	641090	532463269	8.791279118487154
BCSE_optdedupe_2	2.10	9729758	4657004	9729758	583785480	928158	550988467	5.617990533097877
BCSF_optdedupe_1	2.10	9016750	4793011	9016750	541005000	739194	486066315	10.154931100451936
BCSF_optdedupe_2	2.10	9016750	4382609	9016750	541005000	1045113	509695494	5.787285884603655
