Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BCS1_optdedupe_1	13.861097115219442						
BCS1_optdedupe_1_val_1		5.8561476125694725	45.0	55.17420894876945	59	9.090909090909092	6511778.0
BCS1_optdedupe_2	8.120070156500386						
BCS1_optdedupe_2_val_2		8.547542902622695	46.0	55.18433506179111	59	9.090909090909092	6511778.0
BCS2_optdedupe_1	14.228744890484894						
BCS2_optdedupe_1_val_1		6.239017319007161	46.0	54.01272321405258	59	9.090909090909092	7659464.0
BCS2_optdedupe_2	10.129104896829558						
BCS2_optdedupe_2_val_2		8.567939271387374	47.0	54.01931414521956	59	9.090909090909092	7659464.0
BCS3_optdedupe_1	12.645416578596565						
BCS3_optdedupe_1_val_1		6.6741804591948295	53.0	54.89772535503048	59	9.090909090909092	6873776.0
BCS3_optdedupe_2	8.95260540729443						
BCS3_optdedupe_2_val_2		9.550964899998164	53.0	54.90372380479084	59	9.090909090909092	6873776.0
BCS4_optdedupe_1	13.624105609470075						
BCS4_optdedupe_1_val_1		6.325408310520373	54.0	54.452029207919686	59	9.090909090909092	7170384.0
BCS4_optdedupe_2	9.745596536046277						
BCS4_optdedupe_2_val_2		9.19662905817259	54.0	54.45932030976305	59	9.090909090909092	7170384.0
BCS5_optdedupe_1	9.633894976350987						
BCS5_optdedupe_1_val_1		5.100977505943163	46.0	57.21079795843976	60	9.090909090909092	6002468.0
BCS5_optdedupe_2	4.851419161502907						
BCS5_optdedupe_2_val_2		7.210050295690067	46.0	57.212785141045316	60	9.090909090909092	6002468.0
BCS6_optdedupe_1	10.483436501355548						
BCS6_optdedupe_1_val_1		5.647994421136232	45.0	57.080301783663195	60	9.090909090909092	6334604.0
BCS6_optdedupe_2	5.096167282015833						
BCS6_optdedupe_2_val_2		7.7265804576735775	46.0	57.08163051707731	60	9.090909090909092	6334604.0
BCS7_optdedupe_1	11.404308894798634						
BCS7_optdedupe_1_val_1		6.105215729758811	44.0	57.0639047223386	59	9.090909090909092	5680660.0
BCS7_optdedupe_2	5.1139364449726425						
BCS7_optdedupe_2_val_2		9.575624854572993	44.0	57.065159858185496	60	9.090909090909092	5680660.0
BCSA_optdedupe_1	7.596430890800038						
BCSA_optdedupe_1_val_1		5.381113893392481	45.0	57.80802373436049	60	9.090909090909092	6371522.0
BCSA_optdedupe_2	3.8115625855750643						
BCSA_optdedupe_2_val_2		8.73848702168442	45.0	57.80781059847239	60	9.090909090909092	6371522.0
BCSB_optdedupe_1	8.581933112303446						
BCSB_optdedupe_1_val_1		5.499034203611913	45.0	57.36528911184128	60	9.090909090909092	7602819.0
BCSB_optdedupe_2	4.559983454798417						
BCSB_optdedupe_2_val_2		8.883074943246882	45.0	57.36500895260034	60	9.090909090909092	7602819.0
BCSC_optdedupe_1	8.949497243190805						
BCSC_optdedupe_1_val_1		5.583876275253033	46.0	56.87743845978499	59	9.090909090909092	9541525.0
BCSC_optdedupe_2	5.433414728161646						
BCSC_optdedupe_2_val_2		8.871935634048839	46.0	56.87683887009676	59	9.090909090909092	9541525.0
BCSD_optdedupe_1	8.468553701481286						
BCSD_optdedupe_1_val_1		5.346953251290756	46.0	56.96728364324532	59	9.090909090909092	8569261.0
BCSD_optdedupe_2	5.289309286866606						
BCSD_optdedupe_2_val_2		8.033915813143679	46.0	56.9641063564291	59	9.090909090909092	8569261.0
BCSE_optdedupe_1	8.791279118487154						
BCSE_optdedupe_1_val_1		5.532256604225196	47.0	56.766500559503875	59	9.090909090909092	9365440.0
BCSE_optdedupe_2	5.617990533097877						
BCSE_optdedupe_2_val_2		8.966333423185773	47.0	56.76316382358971	59	9.090909090909092	9365440.0
BCSF_optdedupe_1	10.154931100451936						
BCSF_optdedupe_1_val_1		5.595969872139776	46.0	56.68750222648721	59	9.090909090909092	8561693.0
BCSF_optdedupe_2	5.787285884603655						
BCSF_optdedupe_2_val_2		8.38342098060727	46.0	56.685844727205236	59	9.090909090909092	8561693.0
