[2024-04-30 13:26:04,987] multiqc                                            [DEBUG  ]  This is MultiQC v1.19
[2024-04-30 13:26:05,000] multiqc                                            [DEBUG  ]  Command used: /ihome/crc/install/multiqc/1.19/python3.10/bin/multiqc --filename CnR_allele_BBMapdedup_prettrim_multiQC ./
[2024-04-30 13:26:06,120] multiqc                                            [WARNING]  MultiQC Version v1.21 now available!
[2024-04-30 13:26:06,120] multiqc                                            [DEBUG  ]  Working dir : /ix1/mmann/KoppesEA/Nup107_CR_02262024/fastq_opticalremoved/FastQC
[2024-04-30 13:26:06,120] multiqc                                            [DEBUG  ]  Template    : default
[2024-04-30 13:26:06,120] multiqc                                            [DEBUG  ]  Running Python 3.10.13 | packaged by conda-forge | (main, Dec 23 2023, 15:36:39) [GCC 12.3.0]
[2024-04-30 13:26:06,121] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, ccs, ngsderive, purple, conpair, lima, peddy, somalier, methylQA, mosdepth, phantompeakqualtools, qualimap, preseq, hifiasm, quast, qorts, rna_seqc, rockhopper, rsem, rseqc, busco, bustools, goleft_indexcov, gffcompare, disambiguate, supernova, deeptools, sargasso, verifybamid, mirtrace, happy, mirtop, sambamba, gopeaks, homer, hops, macs2, theta2, snpeff, gatk, htseq, bcftools, featureCounts, fgbio, dragen, dragen_fastqc, dedup, pbmarkdup, damageprofiler, mapdamage, biobambam2, jcvi, mtnucratio, picard, vep, bakta, prokka, qc3C, nanostat, samblaster, samtools, sexdeterrmine, seqera_cli, eigenstratdatabasetools, bamtools, jellyfish, vcftools, longranger, stacks, varscan2, snippy, umitools, truvari, bbmap, bismark, biscuit, diamond, hicexplorer, hicup, hicpro, salmon, kallisto, slamdunk, star, hisat2, tophat, bowtie2, bowtie1, cellranger, snpsplit, odgi, pangolin, nextclade, freyja, humid, kat, leehom, librarian, adapterRemoval, bbduk, clipandmerge, cutadapt, flexbar, sourmash, kaiju, bracken, kraken, malt, motus, trimmomatic, sickle, skewer, sortmerna, biobloomtools, fastq_screen, afterqc, fastp, fastqc, filtlong, prinseqplusplus, pychopper, porechop, pycoqc, minionqc, anglerfish, multivcfanalyzer, clusterflow, checkqc, bcl2fastq, bclconvert, interop, ivar, flash, seqyclean, optitype, whatshap, xenome, xengsort
[2024-04-30 13:26:06,121] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /scratch/slurm-3156476/tmp7sam1xs8
[2024-04-30 13:26:06,126] multiqc                                            [INFO   ]  Search path : /ix1/mmann/KoppesEA/Nup107_CR_02262024/fastq_opticalremoved/FastQC
[2024-04-30 13:26:10,197] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_module_specific_max_filesize: 208] // [skipped_no_match: 26]
[2024-04-30 13:26:10,810] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.8.2
[2024-04-30 13:26:10,813] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.8.2
[2024-04-30 13:26:10,814] multiqc                                            [DEBUG  ]  No samples found: custom_content
[2024-04-30 13:26:14,179] multiqc.modules.fastqc.fastqc                      [INFO   ]  Found 26 reports
[2024-04-30 13:26:14,290] multiqc.utils.software_versions                    [DEBUG  ]  Reading software versions from config.software_versions
[2024-04-30 13:26:14,322] multiqc                                            [DEBUG  ]  Compressing plot data
[2024-04-30 13:26:14,768] multiqc                                            [INFO   ]  Report      : CnR_allele_BBMapdedup_prettrim_multiQC.html
[2024-04-30 13:26:14,768] multiqc                                            [INFO   ]  Data        : CnR_allele_BBMapdedup_prettrim_multiQC_data
[2024-04-30 13:26:14,768] multiqc                                            [DEBUG  ]  Moving data file from '/scratch/slurm-3156476/tmp7sam1xs8/multiqc_data' to '/ix1/mmann/KoppesEA/Nup107_CR_02262024/fastq_opticalremoved/FastQC/CnR_allele_BBMapdedup_prettrim_multiQC_data'
[2024-04-30 13:26:15,515] multiqc                                            [DEBUG  ]  Full report path: /ix1/mmann/KoppesEA/Nup107_CR_02262024/fastq_opticalremoved/FastQC/CnR_allele_BBMapdedup_prettrim_multiQC.html
[2024-04-30 13:26:15,917] multiqc                                            [INFO   ]  MultiQC complete
