Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BCS1_optdedupe_1	5.917264175644149	46.0	60.0	60	18.181818181818183	6966330.0
BCS1_optdedupe_2	13.514436730254914	49.0	60.0	60	27.27272727272727	6966330.0
BCS2_optdedupe_1	6.230372005373496	47.0	60.0	60	18.181818181818183	8063469.0
BCS2_optdedupe_2	11.961888868609876	49.0	60.0	60	27.27272727272727	8063469.0
BCS3_optdedupe_1	6.748275612188152	53.0	60.0	60	18.181818181818183	7233821.0
BCS3_optdedupe_2	12.475773063812042	55.0	60.0	60	27.27272727272727	7233821.0
BCS4_optdedupe_1	6.373200344973739	53.0	60.0	60	18.181818181818183	7574851.0
BCS4_optdedupe_2	12.310964779559086	56.0	60.0	60	27.27272727272727	7574851.0
BCS5_optdedupe_1	5.250257817560737	46.0	60.0	60	18.181818181818183	6341632.0
BCS5_optdedupe_2	11.796848617538231	49.0	60.0	60	27.27272727272727	6341632.0
BCS6_optdedupe_1	5.743477842263346	46.0	60.0	60	9.090909090909092	6741430.0
BCS6_optdedupe_2	12.638493357612006	49.0	60.0	60	27.27272727272727	6741430.0
BCS7_optdedupe_1	6.2294440281316525	45.0	60.0	60	9.090909090909092	6106299.0
BCS7_optdedupe_2	15.510153156720293	48.0	60.0	60	18.181818181818183	6106299.0
BCSA_optdedupe_1	5.472392709085625	45.0	60.0	60	9.090909090909092	6647429.0
BCSA_optdedupe_2	12.248624119613368	47.0	60.0	60	18.181818181818183	6647429.0
BCSB_optdedupe_1	5.578435148632721	45.0	60.0	60	9.090909090909092	7958803.0
BCSB_optdedupe_2	12.625360008040616	47.0	60.0	60	18.181818181818183	7958803.0
BCSC_optdedupe_1	5.611716255963103	46.0	60.0	60	18.181818181818183	9948216.0
BCSC_optdedupe_2	12.073216766669631	48.0	60.0	60	27.27272727272727	9948216.0
BCSD_optdedupe_1	5.406990372678365	46.0	60.0	60	18.181818181818183	8900878.0
BCSD_optdedupe_2	11.006923558150717	48.0	60.0	60	27.27272727272727	8900878.0
BCSE_optdedupe_1	5.596478290191371	47.0	60.0	60	18.181818181818183	9729758.0
BCSE_optdedupe_2	11.955174668032726	49.0	60.0	60	27.27272727272727	9729758.0
BCSF_optdedupe_1	5.647199796310716	46.0	60.0	60	18.181818181818183	9016750.0
BCSF_optdedupe_2	12.388013770339711	48.0	60.0	60	27.27272727272727	9016750.0
