Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
BCS1_1	2.10	8029407	5047429	8029407	481764420	696890	362149250	24.828560398877112
BCS1_2	2.10	8029407	3604706	8029407	481764420	994189	447675890	7.075767446670304
BCS2_1	2.10	8858496	5606131	8858496	531509760	641401	417043744	21.53601393885975
BCS2_2	2.10	8858496	4505185	8858496	531509760	1291757	482324160	9.25394107532475
BCS3_1	2.10	7895922	4455013	7895922	473755320	580664	380986626	19.581562482506794
BCS3_2	2.10	7895922	3546908	7895922	473755320	1253821	434770145	8.22896827839316
BCS4_1	2.10	8272952	4777426	8272952	496377120	611781	394530632	20.517965856282817
BCS4_2	2.10	8272952	3809015	8272952	496377120	1356721	451969979	8.946250584636132
BCS5_1	2.10	7088955	3766669	7088955	425337300	557166	345774130	18.705899999835424
BCS5_2	2.10	7088955	2736407	7088955	425337300	628355	406779929	4.362977570977199
BCS6_1	2.10	7867986	4414431	7867986	472079160	714403	364399756	22.80960760902896
BCS6_2	2.10	7867986	2947051	7867986	472079160	814185	451338905	4.393384999244619
BCS7_1	2.10	7068181	4120596	7068181	424090860	620884	326598591	22.988533400601938
BCS7_2	2.10	7068181	2802231	7068181	424090860	614713	405249082	4.442863493922033
BCSA_1	2.10	7301965	3853886	7301965	438117900	664226	370212449	15.499355538771642
BCSA_2	2.10	7301965	2960872	7301965	438117900	595235	422834247	3.4884794709369324
BCSB_1	2.10	8831170	4847214	8831170	529870200	827077	438665137	17.21271794488537
BCSB_2	2.10	8831170	3679436	8831170	529870200	727816	507962984	4.134449531224817
BCSC_1	2.10	10973888	6144571	10973888	658433280	997571	545936709	17.085492853581155
BCSC_2	2.10	10973888	4797853	10973888	658433280	1063815	625807740	4.955025967095709
BCSD_1	2.10	9660116	5271078	9660116	579606960	802964	490980176	15.290841918116374
BCSD_2	2.10	9660116	4264220	9660116	579606960	931734	551274009	4.888304136306438
BCSE_1	2.10	10593105	5811999	10593105	635586300	889621	534820309	15.85402186925678
BCSE_2	2.10	10593105	4671419	10593105	635586300	932776	602613103	5.187839479862923
BCSF_1	2.10	10313143	6056059	10313143	618788580	1117018	488719668	21.01992767869116
BCSF_2	2.10	10313143	4398039	10313143	618788580	1052559	587215146	5.1024590660674445
