Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BCS1_1	24.828560398877112						
BCS1_1_val_1		13.921584332748367	45.0	55.18682465672301	59	9.090909090909092	6548429.0
BCS1_2	7.075767446670304						
BCS1_2_val_2		14.03544188890396	46.0	55.19819914058777	59	9.090909090909092	6548429.0
BCS2_1	21.53601393885975						
BCS2_1_val_1		14.186234817746595	46.0	54.02399340768913	59	9.090909090909092	7696239.0
BCS2_2	9.25394107532475						
BCS2_2_val_2		14.27073412609856	47.0	54.03141508469267	59	9.090909090909092	7696239.0
BCS3_1	19.581562482506794						
BCS3_1_val_1		14.756495981694457	53.0	54.9073392092262	59	9.090909090909092	6906071.0
BCS3_2	8.22896827839316						
BCS3_2_val_2		14.703363021441788	53.0	54.91411889625809	59	9.090909090909092	6906071.0
BCS4_1	20.517965856282817						
BCS4_1_val_1		14.167930847792206	54.0	54.46364411227032	59	9.090909090909092	7204789.0
BCS4_2	8.946250584636132						
BCS4_2_val_2		14.11956633835328	54.0	54.471715965589	59	9.090909090909092	7204789.0
BCS5_1	18.705899999835424						
BCS5_1_val_1		10.576268453921571	46.0	57.216968608878794	60	9.090909090909092	6035592.0
BCS5_2	4.362977570977199						
BCS5_2_val_2		10.70019882071442	46.0	57.220047677178975	60	9.090909090909092	6035592.0
BCS6_1	22.80960760902896						
BCS6_1_val_1		11.548087134172633	45.0	57.08898727469029	60	9.090909090909092	6374226.0
BCS6_2	4.393384999244619						
BCS6_2_val_2		11.763360329045767	46.0	57.09169568195417	60	9.090909090909092	6374226.0
BCS7_1	22.988533400601938						
BCS7_1_val_1		14.688743126746346	44.0	57.07160051282706	60	9.090909090909092	5714987.0
BCS7_2	4.442863493922033						
BCS7_2_val_2		14.732679491209282	45.0	57.07432510345168	60	9.090909090909092	5714987.0
BCSA_1	15.499355538771642						
BCSA_1_val_1		13.482836749415014	45.0	57.81086421875	60	9.090909090909092	6400000.0
BCSA_2	3.4884794709369324						
BCSA_2_val_2		13.58213625442633	45.0	57.81203734375	60	9.090909090909092	6400000.0
BCSB_1	17.21271794488537						
BCSB_1_val_1		13.992372685749515	45.0	57.36895956024951	60	9.090909090909092	7639241.0
BCSB_2	4.134449531224817						
BCSB_2_val_2		14.022447991248	45.0	57.370451593293105	60	9.090909090909092	7639241.0
BCSC_1	17.085492853581155						
BCSC_1_val_1		14.611288765855733	46.0	56.88076290306829	59	9.090909090909092	9584232.0
BCSC_2	4.955025967095709						
BCSC_2_val_2		14.625850850735162	46.0	56.8817515060153	59	9.090909090909092	9584232.0
BCSD_1	15.290841918116374						
BCSD_1_val_1		14.199282538013463	46.0	56.97088110870505	59	9.090909090909092	8606509.0
BCSD_2	4.888304136306438						
BCSD_2_val_2		14.173176714221427	46.0	56.96898219707898	59	9.090909090909092	8606509.0
BCSE_1	15.85402186925678						
BCSE_1_val_1		14.623154631349522	47.0	56.76940083253495	59	9.090909090909092	9406452.0
BCSE_2	5.187839479862923						
BCSE_2_val_2		14.53927406472566	47.0	56.767452488993726	59	9.090909090909092	9406452.0
BCSF_1	21.01992767869116						
BCSF_1_val_1		14.759049508890044	46.0	56.69324642412063	59	9.090909090909092	8607603.0
BCSF_2	5.1024590660674445						
BCSF_2_val_2		14.746279847561368	46.0	56.6938957338065	59	9.090909090909092	8607603.0
